lang_code,zone_code,usr_id,is_active
eng,NTH,110001,True
eng,NTH,110002,True
eng,NTH,110003,True
eng,RSK,110004,True
eng,CST,110005,True
eng,ORT,110006,True
eng,NTH,110007,True
eng,STH,110008,True
eng,STH,110009,True
eng,STH,110010,True
eng,STH,110011,True
eng,STH,110012,True
eng,MRS,110013,True
eng,MRS,110014,True
eng,MRS,110015,True
eng,MRS,110016,True
eng,SOS,110017,True
eng,SOS,110018,True
eng,SOS,110019,True
eng,SOS,110020,True
eng,NTH,110021,True
eng,NTH,110022,True
eng,RSK,110023,True
eng,NTH,110024,True
eng,ORT,110025,True
eng,NTH,110026,True
eng,STH,110027,True
eng,STH,110028,True
eng,STH,110029,True
eng,NTH,110030,True
eng,NTH,110031,True
eng,NTH,110032,True
eng,CST,110033,True
eng,CST,110034,True
eng,CST,110035,True
eng,ORT,110036,True
eng,ORT,110037,True
eng,ORT,110038,True
eng,ORT,110039,True
eng,ORT,110040,True
eng,ORT,110041,True
eng,ORT,110042,True
eng,ORT,110043,True
eng,ORT,110044,True
eng,ORT,110045,True
eng,ORT,110046,True
eng,ORT,110047,True
eng,ORT,110048,True
eng,ORT,110049,True
eng,ORT,110050,True
eng,ORT,110051,True
eng,ORT,110052,True
eng,ORT,110053,True
eng,ORT,110054,True
eng,ORT,110055,True
eng,ORT,110056,True
eng,ORT,110057,True
eng,NTH,110058,True
eng,NTH,110059,True
eng,NTH,110060,True
eng,NTH,110061,True
eng,STH,110062,True
eng,STH,110063,True
eng,STH,110064,True
eng,STH,110065,True
eng,STH,110066,True
eng,STH,110067,True
eng,STH,110068,True
eng,STH,110069,True
eng,STH,110070,True
eng,STH,110071,True
eng,STH,110072,True
eng,STH,110073,True
eng,STH,110074,True
eng,NTH,110075,True
eng,NTH,110076,True
eng,NTH,110077,True
eng,NTH,110078,True
eng,NTH,110079,True
eng,NTH,110080,True
eng,NTH,110081,True
eng,NTH,110082,True
eng,NTH,110083,True
eng,NTH,110084,True
eng,NTH,110085,True
eng,NTH,110086,True
eng,NTH,110087,True
eng,NTH,110088,True
eng,NTH,110089,True
eng,STH,110090,True
eng,STH,110091,True
eng,STH,110092,True
eng,STH,110093,True
eng,STH,110094,True
eng,STH,110095,True
eng,STH,110096,True
eng,STH,110097,True
eng,STH,110098,True
eng,STH,110099,True
eng,STH,110100,True
eng,STH,110101,True
eng,NTH,110102,True
eng,NTH,110103,True
eng,NTH,110104,True
eng,NTH,110105,True
eng,NTH,110106,True
eng,NTH,110107,True
eng,NTH,110108,True
eng,NTH,110109,True
eng,NTH,110110,True
eng,NTH,110111,True
eng,NTH,110112,True
eng,NTH,110113,True
eng,NTH,110114,True
eng,NTH,110115,True
eng,NTH,110116,True
eng,NTH,110117,True
eng,NTH,110118,True
eng,NTH,110119,True
eng,NTH,110120,True
eng,NTH,110121,True
eng,NTH,110122,True
eng,NTH,110123,True
eng,NTH,110124,True
eng,NTH,110125,True
eng,NTH,110126,True
eng,NTH,110127,True
eng,NTH,110128,True
eng,NTH,110129,True
eng,NTH,110130,True
eng,NTH,110131,True
