lang_code,id,name,mac_address,serial_num,ip_address,mspec_id,public_key,key_index,zone_code,regcntr_id,is_active
eng,10001,a2ml30846,E8-6A-64-1F-27-E6,NM5328114630,192.168.0.150,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAq5TnNAD1FMWWektYigmUMGw+MtNqjqLWaOZU9focDPT+nwMdw9vOs6S+Szw9Vd+zKVQ3AWkRSyfVD0qxHsPX5N6M6eS/UXvz72WF336MbbInfwzNP+uGfkprMQMt5qg21/rPSqWPU1NA9xN8lO2uPmUH4JNRBGRyvq6X1ETTDhqPsuKDwl9ciBScCMJxf/0bv2Dx7yI8lvYUaApqpoHNbBGVgDcq4f/KRZIU2kO0Ng1ESbj6D5fm0F8ZmFx3NVCKaSbBC8NUeltIRJ6+c9Csw1o23WSFTotViWeIDelsfQDq+tMmx9i9qlX3bcPZdcb7g2wm+4cywK1K5oOf3BEBxwIDAQAB,B5:70:23:28:D4:C1:E2:C4:1C:C1:2A:E8:62:A9:18:3F:28:93:F9:3D:EB:AE:F7:56:FA:0B:9D:D0:3E:87:25:48,NTH,10001,True
eng,10002,b2ml28041,8C-16-45-88-E1-0D,WY2132605316,192.168.0.133,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAlhkTm1S8T42+c74T9qFpDU4D1bxhP7mCRELKl2RCPY3yRd7UaU74wjh+2GFtog8kYs69rt3uwsCQGE8fN6Kw7mYr53h3D0u8MlnpsZBTGmErFHnLPijmDhUU9JmcDDws+jqYB4eSZtUNz/qvwzblqARaBZ1sSrhkTm96BZcfqif0tDunIyhV7qq1QmIMv9BJwtFemzg3M9EHXft2FBJp9gNKRaQLq0AXk3/M4Bkwl/CuBAMSboB4/jxca0DY4k+CevqTb2LF6gaUNxyRScF8pVyrq9VOaRD8tBWqpN7518Wjt4HEVlPYFmj9Ud+rKiaUfkKeaDesD72N10GzKjzsaQIDAQAB,BE:04:96:85:C6:F2:65:DC:9B:BE:E8:29:BC:00:F1:DB:92:E0:B3:8D:7B:8E:B3:0A:35:52:99:DD:61:20:83:11,NTH,10003,True
eng,10003,b2ml32871,E8-6A-64-0F-F8-A1,CM6384145127,192.168.0.161,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAw1sH9sIho3lkWrnypPImy709Gx+UuFz2cUMwUstkj6shRJinFMn4dWaPQTlxwcraPe95bgNOdqVfflO3bUhab1jwPebRL3p+nV3CsF+MXawspYG/nXFrR9apTuZrFBTGWrErU1j5CwK892aWxNqhUTuRYqfff4ZsqaQtq4bz33JySvWlYCfituw4wPkRURr1AuJrbZy2FchpKZf5f4TpYLoKEJoMqfOIFJYLDYL9J0H5vBvokWBgfdu46tfaEzP3/suZvKUnmZ3vYuIFtk2FfT+lm2S2hRgO7iRmd9nFZpyDmS/Ff+am/Tq0IrU74uChjL4ni+me1rtszKbWfl2q7wIDAQAB,AE:A2:2D:FF:C6:29:FF:0E:15:BE:81:32:61:B8:C7:36:2F:93:D8:EC:A9:03:2F:85:26:0F:26:19:88:ED:2E:CC,NTH,10003,True
eng,10004,b2ml27211,8C-16-45-5A-62-41,NT894252578,192.168.0.259,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAnlFLDCV6AwDJUFZAOwZxWaZlQczdP+faUrBnncP1tEeSmDKDdl29FK73bJk0DR85T9FYx0AeiagCUMxXNWWsESS/PF0+v4fLl4aMxOrjbfGnD58BhnVGGYZmzpPUz4DJ3YzNr/OX++YUGUlRxK+1T1v2kQM16PobkBYRaOGMPSMEirOQY5dgb2zw4F3mv2eElG8jSZr5XZN7yYVLCnK2oBhrKrXAxSWjaZxCg+3pkn0fiNePETD03n2D5zgSG9+aQgPLqMSRK6Ygt5m8lA06dcq2kXIL8N2BWfXilZjJJtY4c9n4+ry8L8syJaZCivGpz24Cbznq9QF1XScIe9grYQIDAQAB,30:17:A5:A6:A7:31:F6:DF:44:9E:F0:8C:7F:7F:86:79:8D:36:9E:CA:EF:E0:EC:D6:9C:7D:1A:F4:0F:F7:15:3A,RSK,10004,True
eng,10005,a2ml30933,E8-6A-64-1D-75-E4,YM866672706,192.168.0.119,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAllvfzdSMUkVfmCwDkEzGZkHqBZpD4jUs5mlbDIn+HiLMuttA1HQNWfsXcWgGMiE/PmU+4VcPgguLzXGIcIPRiufGTwUb1A9Pbq/KYVVkY+DxmoZX8enKqBQSa8/+m3g8eb1/j82rrUG1evxxvdxeh3t2wCz4YKo/Z0aZkl6xDdyxkM3o5jMEqIUwx0Lh5CQOEF4pzaFy/V/gYx1crCrwK9s7Gm9VEjjsnLbk7VmxrWvpBrY27t84IAVxq4lhi9epbq/lDKVIobZs6MFnRXMQFm+eCMDUl6BqZR8uq5qi0GwwXnJaGPHvm4Uy72lCBEcSYSKkhwio8gUS5Kr8y3mOkQIDAQAB,55:48:95:C3:64:7F:79:3F:B7:77:C6:6A:31:AC:53:39:1D:F0:A1:A5:CE:19:04:60:83:85:56:45:71:4E:D7:B6,CST,10005,True
eng,10006,a1ml29006,8C-16-45-FA-94-B7,WT6501645780,192.168.0.177,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAsJx1uSvVDlq0Ck+sAB+gfHY/HNWIOfRvyMuypk8PjknDqa+RbdSWs/y+M5ESswsGRicynOKW8/ofKZpDDwn1nn5LPbpeBC6/bCNfzLYNruokuWCIF+N8U/KBznxoBq23TWUPdVE9T5SVDmpnPH5ZYkgnB9RBuuEln1ECDmzIB/9/IzDcvRvJLhyL37inSxGRrJ7WmycYi8rB9TxjsjQvN/9rivI+5NEwBn04xX1rR43bPQ4vHSWiub1ik871uqMBTyBLh5tO0qDd6bynSLwE0aeIXeSotwv9alZuTaSP8+fcgLhIfKTfAVHmu85XNT7RfkpITSU77WyzlZpxWfripwIDAQAB,17:7F:8C:70:7E:A6:2E:64:2A:90:58:A8:1E:3E:CE:E8:7A:B1:58:9A:3C:E5:C6:62:28:23:61:D7:11:76:2C:2E,ORT,10006,True
eng,10007,desktop-q5t0s4c,AC-E0-10-D5-E8-84,LK8186452621,192.168.0.227,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAi1Q9A8KfJ30OtlodhlekWj4FUEc06xj7R1p+WBwuqE1J+TM3lDJujaQyC4jrDl5CkS1G2fsGUf6bI/ZdxiPSeGk7dNe1OQ9iipLh9E3yDREyr4zKQ/sEJ7hvzP0M3R2FjOlm5fkN4Mom/ch8I2gXWK/iGP7sMylLbiFGpijs6Z/U+TtLAbHcubodStiB8gg7SJsNNaKfszp31hjWGpnzsVbvo6Gikb79TVuQcMPj/5oduvYX5XR6bUGXyYSQEB4M1Vb78c+h9ElB8aeF3FjGXgj+zORU3b8LerGSBVrHJzQZfL2FbrqOS4+Wk/1IlJJ+330bqrbaypli/iIpi/wvswIDAQAB,C3:F3:70:78:D8:5B:23:BE:FB:FA:C1:22:73:50:8E:47:6B:9E:AD:1A:5F:D4:04:FE:B4:1A:57:9C:20:7E:E5:3E,NTH,10007,True
eng,10008,machine 8,E8-6A-64-1C-52-6E,NR3264783870,192.168.0.207,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAr2QvOGVldDLbpY6coor6RySFrUg9f3UiM6BRsdCcR4Te5/zyBcrwrlryT2iQoe3YnGT1+mTKIVrF+iMYkWf/ekOc+hJK5HLA+6p1mFEBpqcSJZn44mhanFswoebBewIuJOZGVDSkEg21UzAGtcOYfRc7Cl4GTZmWl+lS1EP0bqg6J1WT81QthWPd/Oj3bpQcHWgE2NdtC/tHjfvXm0SBn8QhsrrPq2lQlrtqApgv0w5CpyridMZWwkfnP32uekI4m3H+d5AWdAQmcvzNB5MUp5bhf+6qZE4m8cB9KTHmm7+nI2VCwZ6q9g6hivmUzEbNutSjReKcVvHz46/TDXeVHwIDAQAB,53:67:8E:13:CA:5F:40:AD:8F:24:75:64:F3:69:EC:B1:AA:50:98:30:B5:37:60:CA:59:A0:8E:A7:CE:89:63:66,STH,10008,True
eng,10009,machine 9,48-51-B7-10-35-A6,RW437027336,192.168.0.220,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuRYLrpU2VkiZ8sKcXvEhbG7XZpHUFTQ1FLWYle5iet20BA7dCgcoRGNbwbmlY7Yxn7WfyEOEA+eGiM7zwA2cyqMhC0hBWrMpcR90SCJqqOv6iW63yjBiq4lHfIQM/oEL8XzHPOGomGwMQ02j63shRKogSL1vabU8mnNiFxc/EjTqiDCIg+SH3ebc3I2ol8wwrjy44qnhv1wTVYjqWtXQ/RHxggMARGAyPJe4XTR8ZoarKTgNZu+wgblRsKeolpVXtB7w5WuZ6AOuzzx67Jf6wHysFtyTcoU77vW3bnjwgmFoT+5jlokNH0EWNGV0HIs7VP73BrdRxviv0562uMC89QIDAQAB,EB:C3:98:D6:24:45:60:CB:63:C8:BD:47:A1:5D:11:1A:24:9A:42:61:90:96:48:11:4D:96:B2:F8:2E:C9:AB:96,STH,10009,True
eng,10010,b2ml26381,8C-16-45-38-F3-F3,SI158158531,192.168.0.242,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApQNa1REEJOhWjGnFOr/vQClywxoY4juIdng0ZHkoi0wHUP9wkpNbXHUyd9+MhLKbLSd0etImzWrEtBki4Y+oz3dkP94ITGUv6riee25k42oQgsPJicz9qKoNP6MpGPNVC3ZE4VqjaqAvRoB8VjuqfaN432zZhSaR65Y+2oJ9gesx2zxxWEHvmNKXcVbhTSgMDNP++xC9To1ZeHnfJyQuduKIz0TM8FB/YaYXJrP1qosO7Ucdw/pfdx9U+79mY8l1CnInP/nVP66Ttf+cYRikzi8+12z8olLQ+eDmXKLxTBhd+Iy3EJhN5a7PEKs4+YaoN/2AUmEtPPbjDcen5BH50wIDAQAB,BA:B8:5C:2C:BC:3B:CA:EE:EC:D1:02:78:78:E1:05:D9:07:06:F7:B9:95:CB:F8:2E:28:0F:BD:68:02:E5:8C:74,STH,10010,True
