lang_code,regcntr_id,day_code,is_working,is_active
eng,10001,101,False,True
eng,10001,102,True,True
eng,10001,103,True,True
eng,10001,104,True,True
eng,10001,105,True,True
eng,10001,106,True,True
eng,10001,107,False,True
eng,10002,101,False,True
eng,10002,102,True,True
eng,10002,103,True,True
eng,10002,104,True,True
eng,10002,105,True,True
eng,10002,106,True,True
eng,10002,107,False,True
eng,10003,101,False,True
eng,10003,102,True,True
eng,10003,103,True,True
eng,10003,104,True,True
eng,10003,105,True,True
eng,10003,106,True,True
eng,10003,107,False,True
eng,10004,101,False,True
eng,10004,102,True,True
eng,10004,103,True,True
eng,10004,104,True,True
eng,10004,105,True,True
eng,10004,106,True,True
eng,10004,107,False,True
eng,10005,101,False,True
eng,10005,102,True,True
eng,10005,103,True,True
eng,10005,104,True,True
eng,10005,105,True,True
eng,10005,106,True,True
eng,10005,107,False,True
eng,10006,101,False,True
eng,10006,102,True,True
eng,10006,103,True,True
eng,10006,104,True,True
eng,10006,105,True,True
eng,10006,106,True,True
eng,10006,107,False,True
eng,10007,101,False,True
eng,10007,102,True,True
eng,10007,103,True,True
eng,10007,104,True,True
eng,10007,105,True,True
eng,10007,106,True,True
eng,10007,107,False,True
eng,10008,101,False,True
eng,10008,102,True,True
eng,10008,103,True,True
eng,10008,104,True,True
eng,10008,105,True,True
eng,10008,106,True,True
eng,10008,107,False,True
eng,10009,101,False,True
eng,10009,102,True,True
eng,10009,103,True,True
eng,10009,104,True,True
eng,10009,105,True,True
eng,10009,106,True,True
eng,10009,107,False,True
eng,10010,101,False,True
eng,10010,102,True,True
eng,10010,103,True,True
eng,10010,104,True,True
eng,10010,105,True,True
eng,10010,106,True,True
eng,10010,107,False,True
eng,10011,101,False,True
eng,10011,102,True,True
eng,10011,103,True,True
eng,10011,104,True,True
eng,10011,105,True,True
eng,10011,106,True,True
eng,10011,107,False,True
eng,10012,101,False,True
eng,10012,102,True,True
eng,10012,103,True,True
eng,10012,104,True,True
eng,10012,105,True,True
eng,10012,106,True,True
eng,10012,107,False,True
eng,10013,101,False,True
eng,10013,102,True,True
eng,10013,103,True,True
eng,10013,104,True,True
eng,10013,105,True,True
eng,10013,106,True,True
eng,10013,107,False,True
eng,10014,101,False,True
eng,10014,102,True,True
eng,10014,103,True,True
eng,10014,104,True,True
eng,10014,105,True,True
eng,10014,106,True,True
eng,10014,107,False,True
eng,10015,101,False,True
eng,10015,102,True,True
eng,10015,103,True,True
eng,10015,104,True,True
eng,10015,105,True,True
eng,10015,106,True,True
eng,10015,107,False,True
