lang_code,id,app_id,name,descr,is_active
eng,approveRegistrationRoot,10003,approveRegistrationRoot,approveRegistrationRoot,True
eng,loginRoot,10003,loginRoot,loginRoot,True
eng,lostUINRoot,10003,lostUINRoot,lostUINRoot,True
eng,newRegistrationRoot,10003,newRegistrationRoot,newRegistrationRoot,True
eng,onBoardRoot,10003,onBoardRoot,onBoardRoot,True
eng,registrationCorrectionRoot,10003,registrationCorrectionRoot,registrationCorrectionRoot,True
eng,sendPacketServerRoot,10003,sendPacketServerRoot,sendPacketServerRoot,True
eng,syncServerClientRoot,10003,syncServerClientRoot,syncServerClientRoot,True
eng,uinActivationRoot,10003,uinActivationRoot,uinActivationRoot,True
eng,uinUpdateRoot,10003,uinUpdateRoot,uinUpdateRoot,True
eng,updateClientSoftwareRoot,10003,updateClientSoftwareRoot,updateClientSoftwareRoot,True
eng,reportRoot,10003,reportRoot,reportRoot,True
eng,syncClientServerRoot,10003,syncClientServerRoot,syncClientServerRoot,True
eng,eodRoot,10003,eodroot,eodroot,True
eng,reRegisterRoot,10003,reRegisterRoot,reRegisterRoot,True
eng,uploadPacketRoot,10003,uploadPacketRoot,uploadPacketRoot,True
