lang_code,zone_code,usr_id,is_active,eff_dtimes
eng,NTH,110001,True,now()
eng,NTH,110002,True,now()
eng,NTH,110003,True,now()
eng,RSK,110004,True,now()
eng,CST,110005,True,now()
eng,ORT,110006,True,now()
eng,NTH,110007,True,now()
eng,STH,110008,True,now()
eng,STH,110009,True,now()
eng,STH,110010,True,now()
eng,STH,110011,True,now()
eng,STH,110012,True,now()
eng,MRS,110013,True,now()
eng,MRS,110014,True,now()
eng,MRS,110015,True,now()
eng,MRS,110016,True,now()
eng,SOS,110017,True,now()
eng,SOS,110018,True,now()
eng,SOS,110019,True,now()
eng,SOS,110020,True,now()
eng,NTH,110021,True,now()
eng,NTH,110022,True,now()
eng,RSK,110023,True,now()
eng,NTH,110024,True,now()
eng,ORT,110025,True,now()
eng,NTH,110026,True,now()
eng,STH,110027,True,now()
eng,STH,110028,True,now()
eng,STH,110029,True,now()
eng,NTH,110030,True,now()
eng,NTH,110031,True,now()
eng,NTH,110032,True,now()
eng,CST,110033,True,now()
eng,CST,110034,True,now()
eng,CST,110035,True,now()
eng,ORT,110036,True,now()
eng,ORT,110037,True,now()
eng,ORT,110038,True,now()
eng,ORT,110039,True,now()
eng,ORT,110040,True,now()
eng,ORT,110041,True,now()
eng,ORT,110042,True,now()
eng,ORT,110043,True,now()
eng,ORT,110044,True,now()
eng,ORT,110045,True,now()
eng,ORT,110046,True,now()
eng,ORT,110047,True,now()
eng,ORT,110048,True,now()
eng,ORT,110049,True,now()
eng,ORT,110050,True,now()
eng,ORT,110051,True,now()
eng,ORT,110052,True,now()
eng,ORT,110053,True,now()
eng,ORT,110054,True,now()
eng,ORT,110055,True,now()
eng,ORT,110056,True,now()
eng,ORT,110057,True,now()
eng,NTH,110058,True,now()
eng,NTH,110059,True,now()
eng,NTH,110060,True,now()
eng,NTH,110061,True,now()
eng,STH,110062,True,now()
eng,STH,110063,True,now()
eng,STH,110064,True,now()
eng,STH,110065,True,now()
eng,STH,110066,True,now()
eng,STH,110067,True,now()
eng,STH,110068,True,now()
eng,STH,110069,True,now()
eng,STH,110070,True,now()
eng,STH,110071,True,now()
eng,STH,110072,True,now()
eng,STH,110073,True,now()
eng,STH,110074,True,now()
eng,NTH,110075,True,now()
eng,NTH,110076,True,now()
eng,NTH,110077,True,now()
eng,NTH,110078,True,now()
eng,NTH,110079,True,now()
eng,NTH,110080,True,now()
eng,NTH,110081,True,now()
eng,NTH,110082,True,now()
eng,NTH,110083,True,now()
eng,NTH,110084,True,now()
eng,NTH,110085,True,now()
eng,NTH,110086,True,now()
eng,NTH,110087,True,now()
eng,NTH,110088,True,now()
eng,NTH,110089,True,now()
eng,STH,110090,True,now()
eng,STH,110091,True,now()
eng,STH,110092,True,now()
eng,STH,110093,True,now()
eng,STH,110094,True,now()
eng,STH,110095,True,now()
eng,STH,110096,True,now()
eng,STH,110097,True,now()
eng,STH,110098,True,now()
eng,STH,110099,True,now()
eng,STH,110100,True,now()
eng,STH,110101,True,now()
eng,NTH,110102,True,now()
eng,NTH,110103,True,now()
eng,NTH,110104,True,now()
eng,NTH,110105,True,now()
eng,NTH,110106,True,now()
eng,NTH,110107,True,now()
eng,NTH,110108,True,now()
eng,NTH,110109,True,now()
eng,NTH,110110,True,now()
eng,NTH,110111,True,now()
eng,NTH,110112,True,now()
eng,NTH,110113,True,now()
eng,NTH,110114,True,now()
eng,NTH,110115,True,now()
eng,NTH,110116,True,now()
eng,NTH,110117,True,now()
eng,NTH,110118,True,now()
eng,NTH,110119,True,now()
eng,NTH,110120,True,now()
eng,NTH,110121,True,now()
eng,NTH,110122,True,now()
eng,NTH,110123,True,now()
eng,NTH,110124,True,now()
eng,NTH,110125,True,now()
eng,NTH,110126,True,now()
eng,NTH,110127,True,now()
eng,NTH,110128,True,now()
eng,NTH,110129,True,now()
eng,NTH,110130,True,now()
eng,NTH,110131,True,now()
