regcntr_id,machine_id,lang_code,is_active,cr_by,cr_dtimes
10001,10001,eng,TRUE,superadmin,now()
10003,10002,eng,TRUE,superadmin,now()
10003,10003,eng,TRUE,superadmin,now()
10004,10004,eng,TRUE,superadmin,now()
10005,10005,eng,TRUE,superadmin,now()
10006,10006,eng,TRUE,superadmin,now()
10007,10007,eng,TRUE,superadmin,now()
10008,10008,eng,TRUE,superadmin,now()
10009,10009,eng,TRUE,superadmin,now()
10010,10010,eng,TRUE,superadmin,now()
10011,10011,eng,TRUE,superadmin,now()
10011,10012,eng,TRUE,superadmin,now()
10012,10013,eng,TRUE,superadmin,now()
10012,10014,eng,TRUE,superadmin,now()
10013,10015,eng,TRUE,superadmin,now()
10013,10016,eng,TRUE,superadmin,now()
10014,10017,eng,TRUE,superadmin,now()
10014,10018,eng,TRUE,superadmin,now()
10015,10019,eng,TRUE,superadmin,now()
10015,10020,eng,TRUE,superadmin,now()
10002,10021,eng,TRUE,superadmin,now()
10003,10022,eng,TRUE,superadmin,now()
10004,10023,eng,TRUE,superadmin,now()
10003,10024,eng,TRUE,superadmin,now()
10006,10025,eng,TRUE,superadmin,now()
10007,10026,eng,TRUE,superadmin,now()
10008,10027,eng,TRUE,superadmin,now()
10009,10028,eng,TRUE,superadmin,now()
10010,10029,eng,TRUE,superadmin,now()
10001,10030,eng,TRUE,superadmin,now()
10001,10031,eng,TRUE,superadmin,now()
10002,10032,eng,TRUE,superadmin,now()
10006,10033,eng,TRUE,superadmin,now()
10006,10034,eng,TRUE,superadmin,now()
10006,10035,eng,TRUE,superadmin,now()
10006,10036,eng,TRUE,superadmin,now()
10006,10037,eng,TRUE,superadmin,now()
10006,10038,eng,TRUE,superadmin,now()
10006,10039,eng,TRUE,superadmin,now()
10006,10040,eng,TRUE,superadmin,now()
10006,10041,eng,TRUE,superadmin,now()
10006,10042,eng,TRUE,superadmin,now()
10006,10043,eng,TRUE,superadmin,now()
10006,10044,eng,TRUE,superadmin,now()
10006,10045,eng,TRUE,superadmin,now()
10006,10046,eng,TRUE,superadmin,now()
10006,10047,eng,TRUE,superadmin,now()
10006,10048,eng,TRUE,superadmin,now()
10006,10049,eng,TRUE,superadmin,now()
10006,10050,eng,TRUE,superadmin,now()
10006,10051,eng,TRUE,superadmin,now()
10006,10052,eng,TRUE,superadmin,now()
10006,10053,eng,TRUE,superadmin,now()
10006,10054,eng,TRUE,superadmin,now()
10007,10055,eng,TRUE,superadmin,now()
10007,10056,eng,TRUE,superadmin,now()
10007,10057,eng,TRUE,superadmin,now()
10007,10058,eng,TRUE,superadmin,now()
10008,10059,eng,TRUE,superadmin,now()
10008,10060,eng,TRUE,superadmin,now()
10008,10061,eng,TRUE,superadmin,now()
10008,10062,eng,TRUE,superadmin,now()
10008,10063,eng,TRUE,superadmin,now()
10008,10064,eng,TRUE,superadmin,now()
10008,10065,eng,TRUE,superadmin,now()
10008,10066,eng,TRUE,superadmin,now()
10008,10067,eng,TRUE,superadmin,now()
10008,10068,eng,TRUE,superadmin,now()
10008,10069,eng,TRUE,superadmin,now()
10008,10070,eng,TRUE,superadmin,now()
10008,10071,eng,TRUE,superadmin,now()
33333,10072,eng,TRUE,superadmin,now()
33333,10073,eng,TRUE,superadmin,now()
33333,10074,eng,TRUE,superadmin,now()
33333,10075,eng,TRUE,superadmin,now()
33333,10076,eng,TRUE,superadmin,now()
33333,10077,eng,TRUE,superadmin,now()
33333,10078,eng,TRUE,superadmin,now()
33333,10079,eng,TRUE,superadmin,now()
33333,10080,eng,TRUE,superadmin,now()
33333,10081,eng,TRUE,superadmin,now()
33333,10082,eng,TRUE,superadmin,now()
33333,10083,eng,TRUE,superadmin,now()
10008,10084,eng,TRUE,superadmin,now()
10008,10085,eng,TRUE,superadmin,now()
10008,10086,eng,TRUE,superadmin,now()
10008,10087,eng,TRUE,superadmin,now()
10008,10088,eng,TRUE,superadmin,now()
10008,10089,eng,TRUE,superadmin,now()
10008,10090,eng,TRUE,superadmin,now()
10008,10091,eng,TRUE,superadmin,now()
10008,10092,eng,TRUE,superadmin,now()
10008,10093,eng,TRUE,superadmin,now()
10008,10094,eng,TRUE,superadmin,now()
10008,10095,eng,TRUE,superadmin,now()
10008,10096,eng,TRUE,superadmin,now()
10008,10097,eng,TRUE,superadmin,now()
10008,10098,eng,TRUE,superadmin,now()
